,statefips,population_percentage,year,pop
2,04,0.021689021640862737,2022,7335661
3,05,0.009320243112264008,2022,3152293
4,06,0.12230287192714974,2022,41365277
5,08,0.017756731587958065,2022,6005682
6,09,0.01043140565209895,2022,3528110
7,10,0.0029587464366834407,2022,1000707
8,11,0.002152642869920702,2022,728067
9,12,0.06537436282980477,2022,22110917
10,13,0.03266061127514278,2022,11046472
11,15,0.004202026231372576,2022,1421209
12,16,0.005410322260465776,2022,1829879
13,17,0.037175487433334264,2022,12573493
14,18,0.02075180783610234,2022,7018676
15,19,0.009749782795695034,2022,3297572
16,20,0.008604620010060703,2022,2910255
17,21,0.013632225514201353,2022,4610691
18,22,0.014265135608531945,2022,4824754
19,23,0.004156089479100424,2022,1405673
20,24,0.01857404325233401,2022,6282113
21,25,0.02100358554729542,2022,7103833
22,26,0.03037665340713026,2022,10273992
23,27,0.01654041970468687,2022,5594301
24,28,0.009148016376014133,2022,3094042
25,29,0.018576168057901295,2022,6282832
26,30,0.0032461960416577495,2022,1097928
27,31,0.005987000533527601,2022,2024923
28,32,0.008878474887471824,2022,3002878
29,33,0.004217661846431668,2022,1426498
30,34,0.027189562541505247,2022,9196054
31,35,0.006343591915871422,2022,2145530
32,36,0.05959814099451796,2022,20157283
33,37,0.03210242183156689,2022,10857681
34,38,0.002275401581454853,2022,769586
35,39,0.03521457050272876,2022,11910272
36,40,0.012282084447419859,2022,4154047
37,41,0.012916723254020832,2022,4368694
38,42,0.03844229785523771,2022,13001954
39,44,0.003220473474419058,2022,1089229
40,45,0.015702544756100535,2022,5310915
41,46,0.0027314425918269552,2022,923829
42,47,0.020764828564057303,2022,7023080
43,48,0.08939463520698565,2022,30235054
44,49,0.00931424464852193,2022,3150264
45,50,0.001862068155968288,2022,629789
46,51,0.0261155924909049,2022,8832816
47,53,0.023052327774681965,2022,7796758
48,54,0.005463076516856651,2022,1847722
49,55,0.017831982600923876,2022,6031133
50,56,0.0017936682143497545,2022,606654
0,01,0.014970436787955795,2023,5097988
1,02,0.002275529136923347,2023,774902
2,04,0.021689021640862737,2023,7385914
3,05,0.009320243112264008,2023,3173888
4,06,0.12230287192714974,2023,41648653
5,08,0.017756731587958065,2023,6046824
6,09,0.01043140565209895,2023,3552280
7,10,0.0029587464366834407,2023,1007563
8,11,0.002152642869920702,2023,733055
9,12,0.06537436282980477,2023,22262389
10,13,0.03266061127514278,2023,11122147
11,15,0.004202026231372576,2023,1430945
12,16,0.005410322260465776,2023,1842415
13,17,0.037175487433334264,2023,12659629
14,18,0.02075180783610234,2023,7066758
15,19,0.009749782795695034,2023,3320162
16,20,0.008604620010060703,2023,2930191
17,21,0.013632225514201353,2023,4642277
18,22,0.014265135608531945,2023,4857806
19,23,0.004156089479100424,2023,1415302
20,24,0.01857404325233401,2023,6325149
21,25,0.02100358554729542,2023,7152498
22,26,0.03037665340713026,2023,10344374
23,27,0.01654041970468687,2023,5632625
24,28,0.009148016376014133,2023,3115238
25,29,0.018576168057901295,2023,6325873
26,30,0.0032461960416577495,2023,1105450
27,31,0.005987000533527601,2023,2038795
28,32,0.008878474887471824,2023,3023449
29,33,0.004217661846431668,2023,1436270
30,34,0.027189562541505247,2023,9259052
